Protein IDs,Protein names,Gene,Intensity
A2AVZ9,Solute carrier family 43 member 3,Slc43a3,5785600
A2AWA9;A2AWA9-2;A6H6A9-3,Rab GTPase-activating protein 1,Rabgap1,35676000
A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase,Mocs3,2536700000
A2BIM8;P02762;B5X0G2;P04938;P11588;P11591,Major urinary protein 6;Major urinary protein 17;Major urinary proteins 11 and 8;Major urinary protein 1,Mup9;Mup6;Mup17;Mup8;Mup1,1134300000
A2CG49-2;A2CG49;A2CG49-7;A2CG49-4;A2CG49-6;A2CG49-9;A2CG49-8,Kalirin,Kalrn,0
A2RSJ4,UHRF1-binding protein 1-like,Uhrf1bp1l,25741000
A2RSQ0;Q6PAL8,DENN domain-containing protein 5B,Dennd5b,36963000
A2RTL5,Arginine/serine-rich coiled-coil protein 2,Rsrc2,1170200
A3KGB4,TBC1 domain family member 8B,Tbc1d8b,24060000
A3KMP2;A3KMP2-2,Tetratricopeptide repeat protein 38,Ttc38,3651000000
A4FUP9-2;A4FUP9,Glycosyltransferase 1 domain-containing protein 1,Glt1d1,3081300
A6H5Y3,Methionine synthase,Mtr,1049400000
A6H611,Mitochondrial intermediate peptidase,Mipep,56166000
A6H630;A6H630-3;A6H630-4;A6H630-2,Protein-glutamate O-methyltransferase,Armt1,37448000
A6H6A9;A6H6A9-2,Rab GTPase-activating protein 1-like,Rabgap1l,9929400
A6H6E2,Multimerin-2,Mmrn2,3774800
A6H8H2;A6H8H2-2,DENN domain-containing protein 4C,Dennd4c,10682000
A6X935-2;A6X935;CON__Q3T052,"Inter alpha-trypsin inhibitor, heavy chain 4",Itih4,1098100000
A7MCT6;A7MCT6-2,Ethanolamine kinase 2,Etnk2,14459000
B1AR13,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",Cisd3,323830000
B1AXP6;B1AXP6-2;B1AXP6-3;B1AXP6-4,Mitochondrial import receptor subunit TOM5 homolog,Tomm5,264190000
B1AY13;B1AY13-2,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,66084000
B1AZP2-3;B1AZP2-2;B1AZP2,Disks large-associated protein 4,Dlgap4,7375300
B2RQC6-2;B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,278450000
B2RRE7,OTU domain-containing protein 4,Otud4,40053000
B2RX12-3;B2RX12-2;B2RX12,Canalicular multispecific organic anion transporter 2,Abcc3,99570000
B2RXC1;B2RXC1-2,Trafficking protein particle complex subunit 11,Trappc11,18636000
B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,2123800
B2RXS4,Plexin-B2,Plxnb2,178050000
B2RY56,RNA-binding protein 25,Rbm25,89389000
B7ZMP1;B7ZMP1-2,Probable Xaa-Pro aminopeptidase 3,Xpnpep3,120570000
B8JK39,Integrin alpha-9,Itga9,5065500
B9EJ86,Oxysterol-binding protein,Osbpl8,19770000
B9EJR8,"Dynein assembly factor 5, axonemal",Dnaaf5,573830
B9EKI3,TATA element modulatory factor,Tmf1,580360
C0HKD9;C0HKD8,,,29495000
C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8R1M2;Q8CGP7;Q8CGP5;Q8BFU2;Q64522,Histone H2A type 1-H;Histone H2A.J;Histone H2A type 1-K;Histone H2A type 1-F;Histone H2A type 3,Hist1h2ah;H2afj;Hist1h2ak;Hist1h2af;Hist3h2a,14630000000
C0HKG6;C0HKG5,,,222590000
E9Q355-4;E9Q355-5;E9Q355-2;C6KI89;E9Q355,Cation channel sperm-associated protein subunit gamma 1;Cation channel sperm-associated protein subunit gamma 2,Catsperg1;Catsperg2,80697000
D0QMC3,Myeloid cell nuclear differentiation antigen-like protein,Mndal,2377400
D3YXK2,Scaffold attachment factor B1,Safb,227750000
D3YZF7,V-set and immunoglobulin domain-containing protein 10-like,Vsig10l,9016600
D3YZP9,Coiled-coil domain-containing protein 6,Ccdc6,47315000
D3Z6P0;D3Z6P0-2,Protein disulfide-isomerase A2,Pdia2,117430000
D3Z6Q9,Bridging integrator 2,Bin2,33999000
D3Z7P3;D3Z7P3-2,"Glutaminase kidney isoform, mitochondrial",Gls,93242000
E9PV24;E9PV24-2,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,Fga,4679000000
E9PVA8,,Gcn1l1,575700000
E9PVB3,Coiled-coil domain-containing protein 175,Ccdc175,88655000
E9PW74,GTPase IMAP family member GIMD1,Gimd1,4097000
E9PZQ0,Ryanodine receptor 1,Ryr1,10641000
E9Q1P8,Interferon regulatory factor 2-binding protein 2,Irf2bp2,7284000
E9Q394-2;E9Q394,,Akap13,6249000
E9Q3C1,,C2cd2,47142000
E9Q3L2,,Pi4ka,51346000
E9Q414;CON__ENSEMBL:ENSBTAP00000032840,Apolipoprotein B-100;Apolipoprotein B-48,Apob,1470600000
E9Q4P1,,Wdfy1,11142000
E9Q4Z2,Acetyl-CoA carboxylase 2;Biotin carboxylase,Acacb,730740000
E9Q555,E3 ubiquitin-protein ligase RNF213,Rnf213,201900000
E9Q557,Desmoplakin,Dsp,507430000
E9Q5C9;E9Q5C9-2,,Nolc1,93600000
E9Q634;P70248,Unconventional myosin-Ie,Myo1e,46728000
E9Q735,Ubiquitin conjugation factor E4 A,Ube4a,60387000
E9Q7G0,,Numa1,353180000
Q8BSI6;E9Q816,R3H and coiled-coil domain-containing protein 1;Cytochrome P450 2W1,R3hcc1;Cyp2w1,3495400000
E9Q8D0,,Dnajc21,5121100
E9Q8I9-3;E9Q8I9;E9Q8I9-2,Protein furry homolog,Fry,48016000
E9Q8T7,,Dnah1,193700000
E9QAM5,Helicase with zinc finger domain 2,Helz2,11589000
F6ZDS4,Nucleoprotein TPR,Tpr,573170000
F8VPU2,"FERM, RhoGEF and pleckstrin domain-containing protein 1",Farp1,4243000000
G3X982;Q3TYQ9,Aldehyde oxidase 3,Aox3,2986100000
G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Arfgef1,38298000
G5E829;Q9R0K7,Plasma membrane calcium-transporting ATPase 1,Atp2b1,23274000
G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,9303300
G5E8K5-2;G5E8K5-3;G5E8K5;G5E8K5-6;G5E8K5-5;G5E8K5-4;Q8C8R3-5;Q8C8R3-8;Q8C8R3-7;Q8C8R3-6;Q8C8R3-3,Ankyrin-3,Ank3,75688000
O08528,Hexokinase-2,Hk2,23423000
O08529,Calpain-2 catalytic subunit,Capn2,309930000
O08539-2;O08539,Myc box-dependent-interacting protein 1,Bin1,86501000
O08547,Vesicle-trafficking protein SEC22b,Sec22b,475460000
O08553;P97427,Dihydropyrimidinase-related protein 2,Dpysl2,1397900000
O08573-3;O08573-2;O08573,Galectin-9,Lgals9,2545200000
O08579,Emerin,Emd,24224000
O08580,Steroid hormone receptor ERR1,Esrra,5545700
O08582,GTP-binding protein 1,Gtpbp1,21870000
O08583;O08583-2;Q9JJW6-2;Q9JJW6,THO complex subunit 4,Alyref,309570000
O08585,Clathrin light chain A,Clta,910420000
O08599;O08599-2,Syntaxin-binding protein 1,Stxbp1,7210600
O08600,"Endonuclease G, mitochondrial",Endog,529140000
O08601;O08601-2;Q8CGW4,Microsomal triglyceride transfer protein large subunit,Mttp,5678100000
O08609-2;O08609-3;O08609,Max-like protein X,Mlx,0
O08638-2;O08638,Myosin-11,Myh11,166210000
O08663,Methionine aminopeptidase 2,Metap2,237740000
O08677;O08677-3,Kininogen-1;Kininogen-1 heavy chain;Bradykinin;Kininogen-1 light chain,Kng1,2266900000
O08677-2,Kininogen-1;Kininogen-1 heavy chain;Bradykinin;Kininogen-1 light chain,Kng1,429090000
O08692,Neutrophilic granule protein,Ngp,536580000
O08705,Sodium/bile acid cotransporter,Slc10a1,1113700000
O08709,Peroxiredoxin-6,Prdx6,26535000000
O08715-2;O08715-5;O08715-3;O08715-6;O08715;O08715-4,"A-kinase anchor protein 1, mitochondrial",Akap1,44314000
O08738,Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11,Casp6,234160000
O08740,DNA-directed RNA polymerase II subunit RPB11,Polr2j,1204200
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial",Dld,10808000000
O08756,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10,5261300000
O08759-2;O08759;O08759-3,Ubiquitin-protein ligase E3A,Ube3a,97878000
O08784,Treacle protein,Tcof1,53774000
O08788-2;O08788,Dynactin subunit 1,Dctn1,246950000
O08795;O08795-2,Glucosidase 2 subunit beta,Prkcsh,1662400000
O08796,Eukaryotic elongation factor 2 kinase,Eef2k,361340
O08800,Serpin B8,Serpinb8,13083000
O08807,Peroxiredoxin-4,Prdx4,4342500000
O08808,Protein diaphanous homolog 1,Diaph1,243590000
O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,391330000
O08914,Fatty-acid amide hydrolase 1,Faah,306330000
O08915,AH receptor-interacting protein,Aip,35214000
O08917,Flotillin-1,Flot1,212120000
O08919,Numb-like protein,Numbl,7204500
O08966;O70577-2;O70577,Solute carrier family 22 member 1,Slc22a1,101070000
O08992,Syntenin-1,Sdcbp,3694600
O08997,Copper transport protein ATOX1,Atox1,1072800000
O09005,Sphingolipid delta(4)-desaturase DES1,Degs1,17635000
O09012-2;O09012,Peroxisomal targeting signal 1 receptor,Pex5,342000000
O09043,Napsin-A,Napsa,40920000
O09044,Synaptosomal-associated protein 23,Snap23,73463000
O09061,Proteasome subunit beta type-1,Psmb1,1211200000
O09106,Histone deacetylase 1,Hdac1,46199000
O09110;O09110-2,Dual specificity mitogen-activated protein kinase kinase 3,Map2k3,202110000
O09111,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",Ndufb11,238630000
O09117-2;O09117,Synaptophysin-like protein 1,Sypl1,66997000
O09131;Q8K2Q2,Glutathione S-transferase omega-1,Gsto1,3368500000
O09158,Cytochrome P450 3A25,Cyp3a25,28385000
O09159,Lysosomal alpha-mannosidase,Man2b1,290210000
O09161,Calsequestrin-2,Casq2,30384000
O09164,Extracellular superoxide dismutase [Cu-Zn],Sod3,282430000
O09165,Calsequestrin-1,Casq1,168090000
O09167,60S ribosomal protein L21,Rpl21,1932100000
O09172,Glutamate--cysteine ligase regulatory subunit,Gclm,1202400000
O09173,"Homogentisate 1,2-dioxygenase",Hgd,21045000000
O09174,Alpha-methylacyl-CoA racemase,Amacr,2924800000
O35071;B1AVY7;Q80TF6,Kinesin-like protein KIF1C,Kif1c,67737000
O35075,Down syndrome critical region protein 3 homolog,Dscr3,15268000
O35114,Lysosome membrane protein 2,Scarb2,148460000
O35127,Protein C10,Grcc10,18863000
O35129,Prohibitin-2,Phb2,5980000000
O35166,Golgi SNAP receptor complex member 2,Gosr2,51829000
O35215,D-dopachrome decarboxylase,Ddt,21698000000
O35218,Cleavage and polyadenylation specificity factor subunit 2,Cpsf2,36672000
O35226;O35226-4,26S proteasome non-ATPase regulatory subunit 4,Psmd4,132580000
O35226-2;O35226-3;O35226-5,26S proteasome non-ATPase regulatory subunit 4,Psmd4,32316000
O35250-2;O35250,Exocyst complex component 7,Exoc7,26943000
O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,316150000
O35295;Q8R4E6-2;Q8R4E6,Transcriptional activator protein Pur-beta,Purb,43739000
O35309,N-myc-interactor,Nmi,320910000
O35326,Serine/arginine-rich splicing factor 5,Srsf5,52664000
O35343,Importin subunit alpha-3,Kpna4,174470000
O35344,Importin subunit alpha-4,Kpna3,83025000
O35350,Calpain-1 catalytic subunit,Capn1,140740000
O35381;Q64G17,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Anp32a,1907100000
O35382,Exocyst complex component 4,Exoc4,17969000
O35386,"Phytanoyl-CoA dioxygenase, peroxisomal",Phyh,1337500000
O35387,HCLS1-associated protein X-1,Hax1,21078000
O35403,Amine sulfotransferase,Sult3a1,635560000
O35405,Phospholipase D3,Pld3,16451000
O35423-2;O35423,"Serine--pyruvate aminotransferase, mitochondrial",Agxt,5287400000
O35435,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Dhodh,5438800
O35453-2;O35453,Serine protease hepsin;Serine protease hepsin non-catalytic chain;Serine protease hepsin catalytic chain,Hpn,8145000
O35459,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Ech1,4602400000
O35465;O35465-2,Peptidyl-prolyl cis-trans isomerase FKBP8,Fkbp8,282750000
O35488,Very long-chain acyl-CoA synthetase,Slc27a2,4914800000
O35490,Betaine--homocysteine S-methyltransferase 1,Bhmt,2.48E+11
O35551-2;O35551-3;O35551;O35551-6;O35551-5;O35551-4,Rab GTPase-binding effector protein 1,Rabep1,37422000
O35593,26S proteasome non-ATPase regulatory subunit 14,Psmd14,1184400000
O35601-2;O35601,FYN-binding protein,Fyb,6494000
O35604,Niemann-Pick C1 protein,Npc1,46399000
O35609,Secretory carrier-associated membrane protein 3,Scamp3,46760000
O35623,BET1 homolog,Bet1,28075000
O35638,Cohesin subunit SA-2,Stag2,24366000
O35639,Annexin A3,Anxa3,92539000
O35643,AP-1 complex subunit beta-1,Ap1b1,690740000
O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1qbp,238470000
O35660,Glutathione S-transferase Mu 6,Gstm6,2891800000
O35664-2;O35664-3;O35664,Interferon alpha/beta receptor 2,Ifnar2,2462600
O35678;O35678-2,Monoglyceride lipase,Mgll,838010000
O35683,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,Ndufa1,68543000
O35685,Nuclear migration protein nudC,Nudc,509570000
O35691,Pinin,Pnn,85712000
O35704,Serine palmitoyltransferase 1,Sptlc1,1388900
O35711-2;O35711;O35711-4;O35711-3,Liprin-beta-2,Ppfibp2,47354000
O35728,Cytochrome P450 4A14,Cyp4a14,626740000
O35737,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",Hnrnph1,726310000
O35738,Krueppel-like factor 12,Klf12,0
O35744;Q91Z98,Chitinase-like protein 3,Chil3,107230000
O35841,Apoptosis inhibitor 5,Api5,125940000
O35855,"Branched-chain-amino-acid aminotransferase, mitochondrial",Bcat2,56761000
O35857,Mitochondrial import inner membrane translocase subunit TIM44,Timm44,485550000
O35864,COP9 signalosome complex subunit 5,Cops5,89261000
O35887,Calumenin,Calu,360400000
O35900,U6 snRNA-associated Sm-like protein LSm2,Lsm2,95291000
Q68FH0-2;Q68FH0;O35927-2;O35927,Plakophilin-4;Catenin delta-2,Pkp4;Ctnnd2,4208000
O35930,Platelet glycoprotein Ib alpha chain,Gp1ba,4696200
O35943,"Frataxin, mitochondrial;Frataxin intermediate form;Frataxin mature form",Fxn,118830000
O35945,"Aldehyde dehydrogenase, cytosolic 1",Aldh1a7,2239200000
O35955,Proteasome subunit beta type-10,Psmb10,262910000
O35969;O35969-2,Guanidinoacetate N-methyltransferase,Gamt,3279200000
O35972,"39S ribosomal protein L23, mitochondrial",Mrpl23,82427000
O54692,Centromere/kinetochore protein zw10 homolog,Zw10,3062700
O54724,Polymerase I and transcript release factor,Ptrf,137610000
O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost,917600000
O54749,Cytochrome P450 2J5,Cyp2j5,831920000
O54754,Aldehyde oxidase 1,Aox1,182900000
O54774,AP-3 complex subunit delta-1,Ap3d1,131230000
O54782,Epididymis-specific alpha-mannosidase,Man2b2,24795000
O54784,Death-associated protein kinase 3,Dapk3,0
O54786-2;O54786,DNA fragmentation factor subunit alpha,Dffa,8972000
O54818,Tumor protein D53,Tpd52l1,6790200
O54824-2;O54824,Pro-interleukin-16;Interleukin-16,Il16,12411000
O54833,Casein kinase II subunit alpha,Csnk2a2,39794000
O54865,Guanylate cyclase soluble subunit beta-1,Gucy1b3,41544000
O54879,High mobility group protein B3,Hmgb3,67002000
O54890,Integrin beta-3,Itgb3,29284000
Q80XA6;O54916-3;O54916-4;O54916,RalBP1-associated Eps domain-containing protein 2;RalBP1-associated Eps domain-containing protein 1,Reps2;Reps1,12541000
O54931-5;O54931-4;O54931-3;O54931-2;O54931,A-kinase anchor protein 2,Akap2,13843000
O54941,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,Smarce1,35020000
O54946-2;O54946,DnaJ homolog subfamily B member 6,Dnajb6,5581700
O54950;Q91WG5-2;Q91WG5,5-AMP-activated protein kinase subunit gamma-1,Prkag1,113400000
O54962,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",Banf1,191020000
O54965-2;O54965,E3 ubiquitin-protein ligase RNF13,Rnf13,1455000
O54983,Ketimine reductase mu-crystallin,Crym,10436000
O54984,ATPase Asna1,Asna1,132480000
O54988-2;O54988,STE20-like serine/threonine-protein kinase,Slk,82997000
O55013,Trafficking protein particle complex subunit 3,Trappc3,117340000
O55022,Membrane-associated progesterone receptor component 1,Pgrmc1,3030700000
O55023,Inositol monophosphatase 1,Impa1,499700000
O55028,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",Bckdk,37305000
O55029,Coatomer subunit beta,Copb2,1736800000
O55042-2;O55042;Q91ZZ3,Alpha-synuclein,Snca,134450000
O55057,"Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta",Pde6d,2621300
O55060,Thiopurine S-methyltransferase,Tpmt,547570000
O55071,Cytochrome P450 2B19,Cyp2b19,17591000
O55098,Serine/threonine-protein kinase 10,Stk10,2819500
O55102,Biogenesis of lysosome-related organelles complex 1 subunit 1,Bloc1s1,30211000
O55106,Striatin,Strn,24963000
O55111,Desmoglein-2,Dsg2,144150000
O55125,Protein NipSnap homolog 1,Nipsnap1,7983000000
O55126,Protein NipSnap homolog 2,Gbas,215030000
O55128,Histone deacetylase complex subunit SAP18,Sap18,43100000
O55131,Septin-7,09-07-2025,795310000
O55135,Eukaryotic translation initiation factor 6,Eif6,698240000
O55137,Acyl-coenzyme A thioesterase 1,Acot1,887500000
O55142,60S ribosomal protein L35a,Rpl35a,1814400000
O55143;O55143-2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Atp2a2,898590000
O55186,CD59A glycoprotein,Cd59a,10916000
O55201-2;O55201,Transcription elongation factor SPT5,Supt5h,112330000
O55222,Integrin-linked protein kinase,Ilk,422960000
O55229,Choline/ethanolamine kinase,Chkb,37906000
O55234,Proteasome subunit beta type-5,Psmb5,826930000
O55239,Nicotinamide N-methyltransferase,Nnmt,177240000
O55242;O55242-2,Sigma non-opioid intracellular receptor 1,Sigmar1,164750000
O70131,Ninjurin-1,Ninj1,24134000
O70133;O70133-2;O70133-3,ATP-dependent RNA helicase A,Dhx9,750240000
O70152,Dolichol-phosphate mannosyltransferase subunit 1,Dpm1,40290000
O70165,Ficolin-1,Fcn1,9256000
O70194,Eukaryotic translation initiation factor 3 subunit D,Eif3d,896900000
O70200,Allograft inflammatory factor 1,Aif1,2288600
O70209,PDZ and LIM domain protein 3,Pdlim3,11036000
O70250,Phosphoglycerate mutase 2,Pgam2,343590000
O70251,Elongation factor 1-beta,Eef1b,2082700000
O70252,Heme oxygenase 2,Hmox2,99631000
O70274;Q63739,Protein tyrosine phosphatase type IVA 2;Protein tyrosine phosphatase type IVA 1,Ptp4a2;Ptp4a1,26143000
O70303,Cell death activator CIDE-B,Cideb,37591000
O70305-2;O70305;O70305-3,Ataxin-2,Atxn2,146300000
O70309;O70309-2,Integrin beta-5,Itgb5,14468000
O70310,Glycylpeptide N-tetradecanoyltransferase 1,Nmt1,469490000
O70311,Glycylpeptide N-tetradecanoyltransferase 2,Nmt2,41939000
O70318,Band 4.1-like protein 2,Epb41l2,169840000
O70325-2;O70325;Q91XR9,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;Phospholipid hydroperoxide glutathione peroxidase, nuclear",Gpx4,618840000
O70362,Phosphatidylinositol-glycan-specific phospholipase D,Gpld1,190700000
O70370,Cathepsin S,Ctss,150690000
O70378,ER membrane protein complex subunit 8,Emc8,111060000
O70400,PDZ and LIM domain protein 1,Pdlim1,829700000
O70404,Vesicle-associated membrane protein 8,Vamp8,176140000
O70423-2;O70423,Membrane primary amine oxidase,Aoc3,2810000
O70435,Proteasome subunit alpha type-3,Psma3,2466900000
O70439,Syntaxin-7,Stx7,76030000
O70456,14-3-3 protein sigma,Sfn,2264000000
O70475,UDP-glucose 6-dehydrogenase,Ugdh,4899100000
O70492,Sorting nexin-3,Snx3,161650000
O70493,Sorting nexin-12,Snx12,173550000
O70494-3;O70494-2;O70494,Transcription factor Sp3,Sp3,2244800
O70503;O70503-2,Very-long-chain 3-oxoacyl-CoA reductase,Hsd17b12,636160000
O70551,SRSF protein kinase 1,Srpk1,8518700
O70566,Protein diaphanous homolog 2,Diaph2,6789600
O70570,Polymeric immunoglobulin receptor;Secretory component,Pigr,263620000
O70571,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial",Pdk4,5416200
Q9D2N4-7;Q9D2N4-4;Q9D2N4-3;O70585-2;O70585;Q9D2N4-2;Q9D2N4,Dystrobrevin alpha;Dystrobrevin beta,Dtna;Dtnb,12732000
O70589-3;O70589-4;O70589-5;O70589;O70589-2,Peripheral plasma membrane protein CASK,Cask,74313000
O70591,Prefoldin subunit 2,Pfdn2,52701000
O70622-2;O70622,Reticulon-2,Rtn2,20864000
O88271,Craniofacial development protein 1,Cfdp1,49069000
O88291;O88291-2;O88291-3,DBIRD complex subunit ZNF326,Znf326,36967000
O88322,Nidogen-2,Nid2,64803000
O88342,WD repeat-containing protein 1,Wdr1,2937100000
O88343;O88343-2,Electrogenic sodium bicarbonate cotransporter 1,Slc4a4,60969000
O88346-3;O88346-2;O88346,"Troponin T, slow skeletal muscle",Tnnt1,32136000
O88351,Inhibitor of nuclear factor kappa-B kinase subunit beta,Ikbkb,8461500
O88384,Vesicle transport through interaction with t-SNAREs homolog 1B,Vti1b,14875000
O88428,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,Papss2,5934800000
O88441,Metaxin-2,Mtx2,355980000
O88447,Kinesin light chain 1,Klc1,5982300
O88451,Retinol dehydrogenase 7,Rdh7,7082700000
O88455,7-dehydrocholesterol reductase,Dhcr7,158610000
O88456;Q9D7J7,Calpain small subunit 1,Capns1,141390000
O88487,Cytoplasmic dynein 1 intermediate chain 2,Dync1i2,150980000
O88492-2;O88492,Perilipin-4,Plin4,1496300
O88502,"High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A",Pde8a,3150200
O88522,NF-kappa-B essential modulator,Ikbkg,15573000
O88531,Palmitoyl-protein thioesterase 1,Ppt1,616670000
O88532,Zinc finger RNA-binding protein,Zfr,30960000
O88533,Aromatic-L-amino-acid decarboxylase,Ddc,637460000
O88543,COP9 signalosome complex subunit 3,Cops3,226090000
O88544,COP9 signalosome complex subunit 4,Cops4,554000000
O88545,COP9 signalosome complex subunit 6,Cops6,164520000
O88569;O88569-2;O88569-3,Heterogeneous nuclear ribonucleoproteins A2/B1,Hnrnpa2b1,11024000000
O88587-2;O88587,Catechol O-methyltransferase,Comt,3073600000
O88597,Beclin-1,Becn1,13826000
O88630,Golgi SNAP receptor complex member 1,Gosr1,49498000
O88653,Ragulator complex protein LAMTOR3,Lamtor3,14301000
O88668,Protein CREG1,Creg1,116170000
O88685,26S protease regulatory subunit 6A,Psmc3,2453300000
O88696,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Clpp,478440000
O88712-2;O88712;O88712-3;P56546,C-terminal-binding protein 1,Ctbp1,111490000
O88735;O88735-2,Ensconsin,Map7,6478900
O88736,3-keto-steroid reductase,Hsd17b7,68720000
O88738-3;O88738-2;O88738,Baculoviral IAP repeat-containing protein 6,Birc6,12035000
O88746;O88746-2,Target of Myb protein 1,Tom1,91366000
O88783,Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain,F5,4133400
O88792,Junctional adhesion molecule A,F11r,28632000
O88799,Zonadhesin,Zan,27059000
O88811-2;O88811,Signal transducing adapter molecule 2,Stam2,122880000
O88829-2;O88829,"Lactosylceramide alpha-2,3-sialyltransferase",St3gal5,22849000
O88833,Cytochrome P450 4A10,Cyp4a10,290850000
O88843,Death domain-containing protein CRADD,Cradd,16121000
O88844,Isocitrate dehydrogenase [NADP] cytoplasmic,Idh1,51003000000
O88851,Putative hydrolase RBBP9,Rbbp9,366720000
O88856,Protein-tyrosine sulfotransferase 2,Tpst2,1063300
O88876;O88876-2,Short-chain dehydrogenase/reductase 3,Dhrs3,121700000
O88908,Sterol O-acyltransferase 2,Soat2,99607000
O88939-2;O88939,Zinc finger and BTB domain-containing protein 7A,Zbtb7a,3879600
O88947,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,F10,21846000
O88952,Protein lin-7 homolog C,Lin7c,136510000
O88958,Glucosamine-6-phosphate isomerase 1,Gnpda1,71785000
O88962,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,Cyp8b1,19084000
O88967,ATP-dependent zinc metalloprotease YME1L1,Yme1l1,33736000
